"filename", "language", "Lua", "XML", "comment", "blank", "total"
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\bathemo_swarm.lua", "Lua", 84, 0, 1, 12, 97
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\blasphemous.lua", "Lua", 18, 0, 4, 1, 23
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\blightfly.lua", "Lua", 312, 0, 10, 54, 376
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\bloody_gabriel.lua", "Lua", 36, 0, 0, 4, 40
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\bloody_uriel.lua", "Lua", 33, 0, 1, 4, 38
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\bowl_play.lua", "Lua", 212, 0, 2, 47, 261
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\brazier.lua", "Lua", 325, 0, 26, 76, 427
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\bubbly_plum.lua", "Lua", 436, 0, 13, 95, 544
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\bulge_bat.lua", "Lua", 116, 0, 3, 20, 139
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\death.lua", "Lua", 80, 0, 8, 13, 101
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\death_horse.lua", "Lua", 27, 0, 1, 3, 31
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\death_no_horse.lua", "Lua", 15, 0, 2, 4, 21
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\famine.lua", "Lua", 99, 0, 4, 18, 121
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\furnace_guard.lua", "Lua", 76, 0, 0, 15, 91
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\grand_marshall.lua", "Lua", 364, 0, 1, 38, 403
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\hostess.lua", "Lua", 366, 0, 0, 49, 415
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\it_breathes.lua", "Lua", 161, 0, 3, 17, 181
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\lucifer.lua", "Lua", 250, 0, 9, 27, 286
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\lucifer_nohealth.lua", "Lua", 5, 0, 0, 0, 5
"c:\Program Files (x86)\Steam\steamapps\common\The Binding of Isaac Rebirth\mods\GodmodeAchieved\scripts\definitions\monsters\boss\ludomaw.lua", "Lua", 97, 0, 12, 17, 126
